country,isocode,year,POP,XRAT,Currency_Unit,ppp,cgdp,cc,cg,ci,p,pc,pg,pi,openc,cgnp,y,yEKS,yCPDW,rgdpl,rgdpl2,rgdpch,rgdpeqa,rgdpwok,rgdpl2wok,rgdpl2pe,rgdpl2te,rgdpl2th,rgdptt,openk,kc,kg,ki,grgdpch,grgdpl2
Afghanistan,AFG,1950,8150.368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1951,8284.473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1952,8425.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1953,8573.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1954,8728.408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1955,8891.209,0.0168,Afghani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1956,9061.938,0.02,Afghani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1957,9240.934,0.02,Afghani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1958,9428.556,0.02,Afghani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1959,9624.606,0.02,Afghani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1960,9829.45,0.02,Afghani,,,,,,,,,,,102.06610182,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1961,10043.473,0.02,Afghani,,,,,,,,,,,102.02429459,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1962,10267.083,0.02,Afghani,,,,,,,,,,,102.0325234,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1963,10500.711,0.0351783295,Afghani,,,,,,,,,,,102.0710004,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1964,10744.167,0.045,Afghani,,,,,,,,,,,101.94443936,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1965,10997.885,0.045,Afghani,,,,,,,,,,,101.98675898,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1966,11262.324,0.045,Afghani,,,,,,,,,,,102.06349333,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1967,11537.966,0.045,Afghani,,,,,,,,,,,102.12482845,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1968,11825.32,0.045,Afghani,,,,,,,,,,,102.10355443,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1969,12122.74,0.045,Afghani,,,,,,,,,,,102.05046789,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1970,12430.623,0.0449984271,Afghani,0.0294125307,215.24535735,86.10725398,7.6074782131,8.4453736016,65.363464098,70.15822158,36.710469087,42.287354716,21.728109542,102.03316963,4.3059991234,4.5000101718,4.2302021303,862.78958733,891.25189756,863.47730687,1088.3101927,2598.8666205,2682.461703,,,,856.24543389,12.21213548,84.944843898,7.5334509016,8.9781981846,,
Afghanistan,AFG,1971,12749.385,0.0449984271,Afghani,0.0284431378,227.21907385,87.197800225,8.4139475975,9.6067064266,63.209182231,68.895023004,35.427103902,35.932835376,27.063138834,102.06310392,4.2374979879,4.4619917626,4.1292025529,883.359268,909.82229188,883.48502856,1114.5271162,2664.1811646,2743.6021379,,,,864.82633271,17.713387909,85.044816378,8.09532897,10.027149434,2.317110309,2.0836302703
Afghanistan,AFG,1972,13079.46,0.0449984271,Afghani,0.0272242281,201.63398237,85.827046147,9.1080753272,8.4074964947,60.500399385,64.753451919,32.788366297,47.104776638,32.869080644,102.22828116,3.4537429708,3.5724362602,3.3848586165,752.24850143,772.77590711,752.89366634,950.63787876,2274.7375373,2334.808277,,,,737.66300105,19.067993227,83.870673392,8.6459769356,8.9134500159,-14.78138938,-15.06298384
Afghanistan,AFG,1973,13421.301,0.0449984271,Afghani,0.0258639001,224.69360394,85.545385363,8.7218311651,7.5276555196,57.477342635,60.414551193,30.11820727,55.797818582,27.692307751,102.17936616,3.4760254722,3.5598525318,3.4227930607,794.43006078,818.12375481,795.49006372,1005.3252899,2408.0588845,2476.5742103,,,,779.16751394,19.845602014,83.707238289,8.1621807607,8.0233071358,5.6576910244,5.8681756611
Afghanistan,AFG,1974,13772.076,0.0449984271,Afghani,0.0272586517,258.37640985,83.581208962,8.1950749118,9.0484592212,60.57689904,63.636295155,31.485164141,58.665073086,28.865979456,102.16495141,3.7171092313,3.8187322756,3.6864305496,816.04376483,840.76229272,815.96266034,1032.1263413,2474.7932813,2550.0099139,,,,814.81161084,26.205653224,83.357972037,7.7577737551,9.581742884,2.5735829458,2.7671287846
Afghanistan,AFG,1975,14132.019,0.0449984271,Afghani,0.0253799069,296.92042231,80.493812778,10.945980033,10.156451217,56.401764618,60.332305086,29.513333171,54.229356724,26.948355965,102.15962662,3.9486942305,4.0632449104,3.9284150607,856.1888311,870.19065524,856.7714321,1084.7224634,2603.583638,2644.3623901,,,,856.18883071,27.38906085,80.71703405,10.300784895,10.604529475,5.0013038278,3.5002000889
Afghanistan,AFG,1976,14501.369,0.0449984271,Afghani,0.0247594307,320.28240104,76.667524706,10.719805172,14.264844111,55.022880407,59.056616155,29.318527026,52.659666718,28.086956068,102.17391459,3.858590631,3.9971337958,3.8516325976,885.13510285,894.39840186,884.17761202,1120.1410926,2692.0653844,2723.1847366,,,,877.59362435,32.581261201,75.911322174,10.108814524,14.783236808,3.1987737792,2.7818899774
Afghanistan,AFG,1977,14880.372,0.0449984271,Afghani,0.0279990143,318.97259328,79.092092143,11.153766833,12.914411789,62.222206619,66.772985035,32.736396444,59.817704212,26.486080009,102.18208615,3.4875740904,3.5986829668,3.4623333077,817.50098681,827.66574478,817.2827228,1036.0608724,2493.2140582,2524.8886497,,,,820.21297969,35.331525996,79.518876676,10.547108168,13.475806325,-7.565775056,-7.461178032
Afghanistan,AFG,1978,15269.281,0.0449984271,Afghani,0.0271465633,358.24309437,76.817490034,11.566937752,14.645875449,60.327804974,65.296206212,31.367922366,57.140357879,24.713804642,102.15487657,3.5021098459,3.6240923585,3.4715518503,858.56101,866.30977799,858.02443896,1088.4100206,2622.5857581,2647.9102258,,,,864.78473667,36.060248178,78.040217307,10.829767903,14.934536228,4.9850210978,4.6690386121
Afghanistan,AFG,1979,15555.612,0.0437307529,Afghani,0.0281463984,369.34895825,77.330846171,11.058320195,14.225083401,64.36294032,69.444479249,34.135227812,60.236990414,26.428947123,102.1039652,3.2668040761,3.3854969184,3.235773403,819.72523316,828.45319516,819.07823041,1039.6768086,2508.417686,2537.128408,,,,819.72522749,26.710347273,77.777663398,10.488200871,14.376219813,-4.539055857,-4.369866737
